"Ht","Wt","Forty","Vertical","BenchReps","BroadJump","Cone","Shuttle","Year","Round","Pick","PosRec","RoundRec","seq"
73,203,4.63,35.5,12,110,6.78,4.24,2009,NA,NA,"WR",8,3218
72,183,4.52,NA,NA,NA,NA,NA,2009,3,83,"WR",3,3219
74,209,4.49,37.5,13,129,7.25,4.23,2009,7,219,"DB",7,3220
72,306,5.08,30,37,104,7.78,5.06,2009,4,136,"DL",4,3221
76,323,5.29,NA,20,NA,NA,NA,2009,7,236,"OL",7,3222
68,195,4.3,40.5,NA,126,6.65,4.28,2009,4,107,"WR",4,3223
73,193,4.5,38,23,127,7.05,4.01,2009,6,179,"DB",6,3224
77,314,5.2,25.5,24,94,8.33,5.02,2009,5,159,"OL",5,3225
77,223,4.59,NA,NA,NA,NA,NA,2009,3,87,"WR",3,3226
73,198,4.48,36.5,16,125,7,4.2,2009,6,187,"DB",6,3227
73,184,4.31,41.5,7,129,6.62,4.11,2009,7,253,"WR",7,3228
77,309,5.26,24.5,22,93,7.39,4.5,2009,2,49,"OL",2,3229
77,328,5.25,24,29,94,7.87,4.89,2009,3,79,"OL",3,3230
76,315,5.16,29.5,15,100,7.93,4.93,2009,NA,NA,"OL",8,3231
77,333,5.22,NA,39,NA,NA,NA,2009,3,78,"OL",3,3232
73,221,4.42,37,21,125,7.03,4.12,2009,4,116,"DB",4,3233
74,257,4.75,33,35,110,7.2,4.46,2009,2,52,"DL",2,3234
75,306,5.09,34,26,109,NA,5.07,2009,NA,NA,"OL",8,3235
76,268,4.98,37.5,24,115,7.31,4.41,2009,NA,NA,"DL",8,3236
74,304,5.32,33,29,NA,NA,NA,2009,7,210,"DL",7,3237
72,199,4.33,40,14,129,6.9,4.27,2009,3,84,"WR",3,3238
72,197,4.5,45,9,135,6.84,4.2,2009,4,102,"DB",4,3239
78,318,5.51,24.5,18,90,7.89,5.03,2009,NA,NA,"OL",8,3240
70,179,4.35,36.5,15,121,6.77,4.1,2009,3,88,"DB",3,3241
73,235,4.38,33.5,25,128,NA,NA,2009,1,31,"RB",1,3242
72,197,4.55,35,NA,117,7.06,4.42,2009,2,44,"QB",2,3243
73,213,4.64,NA,NA,NA,NA,NA,2009,NA,NA,"DB",8,3244
74,261,4.78,33,NA,112,7.23,4.49,2009,4,120,"DL",4,3245
71,194,4.47,33,15,NA,NA,NA,2009,3,82,"WR",3,3246
73,239,4.79,NA,23,NA,NA,NA,2009,7,221,"RB",7,3247
74,308,5.4,28.5,22,99,8.15,4.98,2009,NA,NA,"OL",8,3248
76,237,4.47,35.5,14,118,7.37,4.56,2009,NA,NA,"WR",8,3249
69,223,4.51,33.5,25,116,NA,NA,2009,7,212,"RB",7,3250
71,240,4.75,35,23,111,NA,NA,2009,NA,NA,"LB",8,3251
75,215,4.9,30.5,NA,109,7.18,4.45,2009,NA,NA,"QB",8,3252
73,219,4.75,29.5,NA,105,7.53,4.59,2009,NA,NA,"QB",8,3253
76,310,5.19,30.5,30,99,7.56,4.51,2009,1,28,"OL",1,3254
72,231,5,NA,15,117,NA,NA,2009,NA,NA,"LB",8,3255
72,197,4.59,35.5,24,122,NA,NA,2009,NA,NA,"DB",8,3256
71,198,4.52,34.5,17,122,7,4.44,2009,6,200,"DB",6,3257
75,275,4.94,31.5,19,107,7.4,4.58,2009,6,182,"DL",6,3258
75,204,4.6,36,14,115,7.22,4.39,2010,NA,NA,"WR",8,3259
75,251,4.75,30.5,NA,106,7.54,4.8,2010,NA,NA,"DL",8,3260
77,215,4.62,NA,NA,NA,NA,NA,2010,NA,NA,"WR",8,3261
76,300,5.4,NA,NA,NA,NA,NA,2010,NA,NA,"DL",8,3262
72,207,4.5,NA,16,NA,NA,NA,2010,2,37,"DB",2,3263
74,295,4.87,35.5,21,116,7.15,4.43,2010,1,10,"DL",1,3264
73,203,4.43,28,8,118,NA,NA,2010,NA,NA,"DB",8,3265
72,235,4.71,35,26,110,7.04,4.29,2010,2,63,"LB",2,3266
72,215,4.62,32,28,120,7.38,4.47,2010,NA,NA,"DB",8,3267
69,197,4.6,NA,NA,112,NA,NA,2010,2,50,"DB",2,3268
74,188,4.52,40,NA,122,7.03,4.43,2010,NA,NA,"WR",8,3269
76,305,5.07,NA,NA,NA,NA,NA,2010,3,68,"OL",3,3270
72,212,4.62,37.5,14,118,7,4.17,2010,5,160,"DB",5,3271
73,293,4.75,33,34,117,7.33,4.43,2010,4,120,"DL",4,3272
67,149,4.37,31,NA,113,6.88,4.29,2010,NA,NA,"WR",8,3273
76,258,4.75,29,26,104,7.54,4.88,2010,NA,NA,"DL",8,3274
76,310,5.28,NA,27,NA,NA,NA,2010,2,45,"OL",2,3275
75,244,4.89,39.5,21,120,7.1,NA,2010,NA,NA,"LB",8,3276
71,220,4.68,36.5,NA,120,6.84,4.17,2010,NA,NA,"RB",8,3277
74,211,4.5,35,15,117,6.76,4.35,2010,NA,NA,"WR",8,3278
73,219,4.57,37,20,118,NA,NA,2010,2,39,"WR",2,3279
72,211,4.4,43,19,130,6.8,4.23,2010,1,5,"DB",1,3280
70,199,4.34,32.5,18,113,6.75,4.17,2010,1,30,"RB",1,3281
76,327,5.53,25.5,23,91,8.52,5.13,2010,NA,NA,"OL",8,3282
72,241,4.7,35,18,117,6.85,4.49,2010,NA,NA,"RB",8,3283
73,204,4.66,36,14,112,7.35,4.69,2010,NA,NA,"WR",8,3284
73,236,4.69,32.5,25,117,6.67,4.11,2010,NA,NA,"LB",8,3285
74,202,4.8,NA,NA,NA,NA,NA,2010,6,172,"K",6,3286
72,242,4.7,29.5,26,115,6.91,4.59,2010,3,91,"LB",3,3287
76,236,4.79,NA,NA,NA,NA,NA,2010,1,1,"QB",1,3288
74,207,4.66,33,9,115,7.1,4.57,2010,6,191,"WR",6,3289
74,306,5.15,23,26,100,7.73,4.66,2010,NA,NA,"OL",8,3290
75,229,4.93,31.5,20,106,7.07,4.43,2010,7,209,"QB",7,3291
75,224,4.5,34.5,NA,114,7.24,4.39,2010,NA,NA,"QB",8,3292
71,198,4.59,31.5,11,118,6.87,4.24,2010,NA,NA,"DB",8,3293
70,210,4.55,36,17,115,NA,NA,2010,NA,NA,"RB",8,3294
77,303,5.21,31.5,21,NA,NA,NA,2010,2,64,"OL",2,3295
70,186,4.56,33.5,13,105,6.98,4.18,2010,6,195,"WR",6,3296
74,225,4.52,NA,NA,NA,NA,NA,2010,1,24,"WR",1,3297
77,314,5.2,27.5,26,98,7.7,4.75,2010,1,23,"OL",1,3298
73,209,4.51,NA,16,NA,NA,NA,2010,3,71,"DB",3,3299
73,245,4.61,NA,35,NA,NA,NA,2010,3,79,"LB",3,3300
72,191,4.43,39.5,17,121,7.08,4.23,2010,5,164,"DB",5,3301
75,301,5.04,NA,33,NA,NA,NA,2010,NA,NA,"OL",8,3302
76,268,4.97,29,NA,109,NA,NA,2010,6,182,"TE",6,3303
78,323,5.46,23.5,22,92,7.96,4.86,2010,7,216,"OL",7,3304
74,247,4.88,34,17,108,7.27,4.4,2010,NA,NA,"LB",8,3305
78,314,4.75,32,34,101,7.58,4.69,2010,4,106,"OL",4,3306
76,223,4.93,29.5,NA,100,7.26,4.39,2010,7,239,"QB",7,3307
77,308,5.11,30.5,19,106,7.68,4.68,2010,7,231,"OL",7,3308
77,285,4.92,NA,26,NA,NA,NA,2010,3,72,"DL",3,3309
71,204,4.42,NA,NA,NA,NA,NA,2010,5,145,"DB",5,3310
71,191,4.49,NA,12,NA,NA,NA,2010,NA,NA,"WR",8,3311
78,329,5.34,24.5,22,102,7.82,4.94,2010,NA,NA,"OL",8,3312
75,231,4.62,32,22,116,7.36,4.41,2010,5,133,"DB",5,3313
69,177,4.49,34,14,115,6.85,4.07,2010,NA,NA,"DB",8,3314
73,242,4.54,39,26,124,6.9,4.29,2010,7,220,"LB",7,3315
73,222,4.69,36,19,121,6.65,4.17,2010,NA,NA,"DB",8,3316
74,235,4.72,NA,21,NA,NA,NA,2010,NA,NA,"QB",8,3317
75,222,4.76,NA,NA,NA,NA,NA,2010,2,48,"QB",2,3318
73,229,4.59,41.5,27,124,NA,NA,2010,4,121,"LB",4,3319
76,354,5.71,20.5,NA,90,8.19,5.03,2010,2,57,"DL",2,3320
75,242,4.76,34.5,22,117,7.13,4.42,2010,NA,NA,"LB",8,3321
70,192,4.55,NA,19,NA,NA,NA,2010,7,244,"DB",7,3322
73,211,4.56,33,13,115,7.24,4.42,2010,NA,NA,"DB",8,3323
73,255,4.76,NA,18,113,NA,NA,2010,NA,NA,"LB",8,3324
72,242,4.59,33.5,24,110,7.36,4.6,2010,7,240,"LB",7,3325
71,246,4.64,35,24,111,7.15,4.32,2010,5,139,"RB",5,3326
78,318,5.55,25,19,94,8.24,4.99,2010,7,229,"OL",7,3327
74,212,4.45,38,7,132,6.88,4.23,2010,2,34,"DB",2,3328
75,222,4.53,33,NA,114,NA,NA,2010,5,159,"WR",5,3329
71,195,4.58,32.5,12,113,NA,NA,2010,5,137,"DB",5,3330
75,266,4.89,NA,NA,NA,NA,NA,2010,2,53,"DL",2,3331
71,235,4.75,34.5,25,NA,NA,NA,2010,3,97,"LB",3,3332
76,271,4.84,NA,28,NA,NA,NA,2010,5,149,"DL",5,3333
73,244,4.62,35,25,109,7.08,4.3,2010,7,236,"LB",7,3334
77,323,5.36,33,21,99,8.17,4.97,2010,1,11,"OL",1,3335
76,314,5.08,NA,NA,NA,NA,NA,2010,7,247,"DL",7,3336
75,217,4.54,NA,15,NA,NA,NA,2010,3,87,"WR",3,3337
76,325,5.12,32.5,27,103,7.84,4.9,2010,5,161,"OL",5,3338
73,226,4.4,43.5,24,125,6.96,4.3,2010,7,227,"TE",7,3339
76,249,4.59,34,23,115,7.32,4.59,2010,3,70,"TE",3,3340
72,245,4.65,31.5,NA,106,7.16,4.43,2010,4,115,"LB",4,3341
73,233,4.67,33,15,121,7.09,4.49,2010,6,173,"RB",6,3342
73,205,4.56,40,NA,117,6.99,4.19,2010,NA,NA,"RB",8,3343
73,224,NA,NA,NA,NA,NA,NA,2010,7,221,"K",7,3344
77,246,4.82,NA,17,NA,NA,NA,2010,7,233,"TE",7,3345
76,332,5.21,26,29,91,8.25,4.97,2010,2,61,"OL",2,3346
78,277,4.68,31.5,21,111,7.21,4.61,2010,2,54,"DL",2,3347
71,229,4.64,33,15,107,7.56,4.67,2010,6,188,"RB",6,3348
75,210,4.39,34,16,123,6.94,4.6,2010,4,107,"WR",4,3349
76,246,4.62,33,16,117,7.19,4.28,2010,4,119,"LB",4,3350
71,187,4.41,NA,NA,NA,NA,NA,2010,3,89,"WR",3,3351
77,261,4.72,31.5,NA,NA,NA,NA,2010,5,162,"TE",5,3352
75,250,4.7,NA,19,NA,NA,NA,2010,7,235,"TE",7,3353
69,186,4.28,33.5,15,115,7,4.44,2010,4,108,"WR",4,3354
79,303,5.45,NA,23,NA,NA,NA,2010,4,128,"OL",4,3355
71,194,4.46,33.5,10,117,7.32,4.33,2010,5,135,"DB",5,3356
74,257,4.77,33.5,25,113,7.04,4.16,2010,NA,NA,"LB",8,3357
79,299,4.98,36,26,112,7.69,NA,2010,6,186,"DL",6,3358
75,256,5,33,13,106,7.13,4.29,2010,NA,NA,"RB",8,3359
72,231,4.5,38,22,118,6.94,4.25,2010,2,51,"RB",2,3360
75,217,4.43,34.5,15,124,6.94,4.41,2010,6,198,"WR",6,3361
72,192,4.37,37,15,127,6.75,4.07,2010,3,96,"DB",3,3362
74,243,4.78,32,32,115,6.84,4.27,2010,4,116,"LB",4,3363
72,187,4.61,39,NA,116,6.92,4.4,2010,4,99,"WR",4,3364
74,240,4.81,35,21,111,6.93,4.54,2010,6,190,"LB",6,3365
78,260,4.53,38.5,NA,120,6.9,4.45,2010,3,95,"TE",3,3366
75,243,4.71,34.5,20,112,7.09,4.35,2010,4,118,"TE",4,3367
73,268,4.71,NA,31,NA,NA,NA,2010,1,13,"LB",1,3368
69,180,4.52,35.5,NA,124,6.66,4.11,2010,NA,NA,"DB",8,3369
76,305,5.31,25.5,26,91,7.62,4.93,2010,NA,NA,"OL",8,3370
77,261,4.66,35,20,113,7.07,4.53,2010,1,21,"TE",1,3371
75,236,5.08,NA,NA,NA,NA,NA,2010,NA,NA,"OL",8,3372
75,273,4.65,NA,32,NA,NA,NA,2010,4,100,"DL",4,3373
71,203,4.55,35.5,11,117,6.58,NA,2010,7,210,"DB",7,3374
78,264,4.68,NA,23,NA,NA,NA,2010,2,42,"TE",2,3375
71,193,4.52,35,18,125,6.94,4.34,2010,1,7,"DB",1,3376
73,209,4.84,32,NA,102,7.07,4.35,2010,NA,NA,"QB",8,3377
75,252,4.62,40,30,120,NA,4.37,2010,4,125,"RB",4,3378
72,225,4.49,41,21,124,6.87,4.14,2010,2,59,"RB",2,3379
76,281,4.82,35,21,117,7.25,4.65,2010,6,175,"DL",6,3380
72,187,4.43,35,16,118,6.91,4.46,2010,NA,NA,"DB",8,3381
75,297,5.21,26,35,105,7.5,4.73,2010,4,117,"OL",4,3382
74,245,4.64,NA,NA,NA,NA,NA,2010,4,113,"TE",4,3383
76,229,4.97,32.5,18,118,7.1,4.54,2010,NA,NA,"QB",8,3384
73,209,4.62,33.5,11,117,6.9,4.32,2010,NA,NA,"WR",8,3385
65,166,4.34,42,10,116,6.54,4.48,2010,6,197,"WR",6,3386
76,264,4.77,NA,25,NA,NA,NA,2010,5,132,"TE",5,3387
75,305,4.84,33.5,30,114,7.61,4.71,2010,2,44,"DL",2,3388
74,255,4.65,34.5,26,118,6.99,4.15,2010,1,31,"LB",1,3389
75,237,4.93,32.5,25,115,6.86,4.07,2010,7,254,"LB",7,3390
74,255,4.86,NA,20,NA,NA,NA,2010,NA,NA,"LB",8,3391
77,331,5.24,27.5,27,92,7.85,4.93,2010,1,17,"OL",1,3392
73,239,4.75,34.5,NA,117,NA,NA,2010,NA,NA,"RB",8,3393
70,196,4.4,37.5,13,118,6.92,4.14,2010,1,20,"DB",1,3394
73,202,4.65,35.5,20,120,6.76,4.22,2010,NA,NA,"DB",8,3395
72,212,4.58,36,21,115,NA,NA,2010,NA,NA,"RB",8,3396
66,176,4.47,NA,14,NA,NA,NA,2010,NA,NA,"RB",8,3397
72,193,4.42,44,7,126,6.72,4,2010,NA,NA,"DB",8,3398
77,328,5.15,27.5,NA,101,7.93,4.69,2010,3,73,"OL",3,3399
71,214,4.62,35.5,13,118,NA,NA,2010,NA,NA,"RB",8,3400
77,312,5.37,25,NA,91,8.15,5.01,2010,3,98,"OL",3,3401
73,258,4.99,29,31,NA,NA,NA,2010,NA,NA,"LB",8,3402
78,311,5.36,21.5,20,89,7.89,4.87,2010,NA,NA,"OL",8,3403
73,214,4.51,39.5,24,118,7.43,4.54,2010,5,163,"DB",5,3404
72,214,4.46,41,20,119,6.9,4.2,2010,NA,NA,"WR",8,3405
74,221,4.59,36,9,115,6.83,4.14,2010,3,76,"DB",3,3406
75,301,5.04,NA,NA,NA,NA,NA,2010,5,157,"DL",5,3407
76,328,5.09,30,39,100,8.12,4.71,2010,2,46,"DL",2,3408
71,188,4.45,NA,14,NA,NA,NA,2010,NA,NA,"WR",8,3409
75,225,4.93,32,NA,110,6.96,4.37,2010,4,122,"QB",4,3410
75,250,4.65,36.5,25,118,7.26,4.53,2010,2,43,"LB",2,3411
73,260,5.05,33,26,111,7.5,4.74,2010,7,232,"DL",7,3412
78,300,5.14,NA,NA,NA,NA,NA,2010,NA,NA,"OL",8,3413
75,234,4.7,34,16,120,6.96,4.21,2010,NA,NA,"LB",8,3414
74,211,4.58,36,NA,115,6.81,4.23,2010,3,78,"WR",3,3415
76,266,5,28.5,20,104,NA,4.68,2010,NA,NA,"DL",8,3416
75,304,5.19,24,26,96,7.81,4.66,2010,6,205,"OL",6,3417
75,315,5.22,26.5,33,101,7.56,4.51,2010,3,92,"OL",3,3418
72,232,4.59,40,21,123,7.3,4.43,2010,NA,NA,"LB",8,3419
74,236,4.71,37.5,24,120,NA,NA,2010,2,55,"LB",2,3420
72,238,4.94,32.5,27,112,NA,NA,2010,NA,NA,"LB",8,3421
75,230,4.6,29.5,NA,110,6.93,4.22,2010,6,181,"QB",6,3422
72,215,4.84,28,NA,107,NA,NA,2010,NA,NA,"QB",8,3423
74,203,4.42,37,10,126,NA,NA,2010,3,67,"DB",3,3424
72,198,4.73,31.5,16,116,6.88,4.33,2010,5,136,"DB",5,3425
71,183,4.51,38.5,9,116,6.81,4.27,2010,4,105,"DB",4,3426
74,216,4.46,41.5,20,123,6.45,4.09,2010,NA,NA,"WR",8,3427
75,281,4.86,NA,NA,NA,NA,NA,2010,7,253,"DL",7,3428
74,235,4.84,NA,19,NA,NA,NA,2010,NA,NA,"K",8,3429
69,190,4.59,35.5,14,109,NA,4.39,2010,NA,NA,"RB",8,3430
77,256,4.82,NA,NA,NA,NA,NA,2010,NA,NA,"TE",8,3431
72,218,4.37,36,19,121,7,4.33,2010,1,12,"RB",1,3432
74,246,4.98,33,NA,108,7.37,4.52,2010,NA,NA,"LB",8,3433
75,230,4.31,41,24,125,NA,NA,2010,2,49,"DB",2,3434
72,205,4.58,34,24,117,6.74,4.13,2010,NA,NA,"DB",8,3435
75,254,4.68,NA,24,NA,NA,NA,2010,1,8,"LB",1,3436
73,247,4.75,36.5,26,119,7.24,4.21,2010,NA,NA,"LB",8,3437
69,172,4.53,37.5,20,118,NA,4.06,2010,2,36,"WR",2,3438
71,193,4.38,36,16,126,6.7,4.07,2010,1,27,"DB",1,3439
76,295,5.04,30.5,23,114,7.32,4.48,2010,1,3,"DL",1,3440
73,216,4.79,NA,NA,114,NA,NA,2010,3,85,"QB",3,3441
76,259,4.71,35.5,19,113,6.99,4.57,2010,6,185,"TE",6,3442
73,201,4.52,40,19,122,NA,4.21,2010,NA,NA,"WR",8,3443
71,198,4.4,36.5,18,120,NA,NA,2010,4,112,"RB",4,3444
72,242,4.84,38.5,29,114,6.85,4.11,2010,NA,NA,"LB",8,3445
71,195,4.48,NA,NA,NA,NA,NA,2010,5,144,"DB",5,3446
69,194,4.53,36,14,117,NA,NA,2010,NA,NA,"RB",8,3447
74,224,4.62,35,13,115,NA,4.23,2010,5,165,"WR",5,3448
76,240,4.79,NA,16,NA,NA,NA,2010,5,150,"K",5,3449
75,268,4.96,38,NA,116,7.65,4.69,2010,NA,NA,"DL",8,3450
71,221,4.43,36.5,26,120,7.2,4.54,2010,NA,NA,"RB",8,3451
72,214,4.59,NA,NA,NA,NA,NA,2010,NA,NA,"RB",8,3452
75,251,4.75,38,NA,127,7.07,4.27,2010,2,40,"LB",2,3453
74,296,4.75,28.5,25,107,7.68,4.55,2010,3,81,"DL",3,3454
75,215,4.46,36,16,122,6.96,4.55,2010,6,177,"WR",6,3455
72,246,4.64,36.5,24,122,7.22,4.37,2010,6,178,"LB",6,3456
75,245,4.69,34,18,113,7.1,4.42,2010,3,93,"TE",3,3457
71,188,4.5,36.5,2,122,6.74,4.07,2010,5,141,"DB",5,3458
75,266,4.77,34,NA,112,7.12,4.43,2010,1,16,"DL",1,3459
74,246,4.68,31,19,110,7.25,4.39,2010,4,131,"LB",4,3460
73,321,4.95,NA,NA,NA,NA,NA,2010,NA,NA,"DL",8,3461
72,196,4.5,38,16,127,6.87,4.05,2010,3,65,"DB",3,3462
75,294,4.87,33,31,113,7.53,4.53,2010,2,56,"DL",2,3463
76,319,4.99,25,25,97,7.4,4.6,2010,5,169,"OL",5,3464
73,245,4.71,36.5,NA,115,7.08,4.23,2010,4,124,"LB",4,3465
77,304,5.03,29,26,106,7.22,4.59,2010,1,28,"DL",1,3466
77,303,5.46,26,27,90,7.84,NA,2010,NA,NA,"DL",8,3467
77,307,5.18,NA,38,NA,NA,NA,2010,1,6,"OL",1,3468
76,306,5.25,29.5,35,93,7.5,4.82,2010,6,183,"OL",6,3469
73,304,4.97,30,44,101,NA,4.68,2010,7,243,"DL",7,3470
72,207,4.32,35.5,NA,120,6.84,4.32,2010,4,126,"DB",4,3471
71,199,4.59,35,16,117,NA,4.16,2010,NA,NA,"WR",8,3472
76,309,5.12,27,23,99,NA,NA,2010,NA,NA,"OL",8,3473
72,209,4.65,38.5,15,118,7.02,4.33,2010,NA,NA,"RB",8,3474
77,254,4.93,NA,19,NA,NA,NA,2010,NA,NA,"TE",8,3475
79,315,5.37,22.5,18,96,7.65,4.77,2010,NA,NA,"OL",8,3476
72,180,4.37,39,8,124,NA,NA,2010,NA,NA,"DB",8,3477
73,178,4.51,33.5,11,121,6.75,4.39,2010,NA,NA,"WR",8,3478
75,300,4.98,33,NA,98,7.56,4.76,2010,3,83,"DL",3,3479
75,310,5.34,NA,45,NA,NA,NA,2010,5,147,"OL",5,3480
73,202,4.94,NA,NA,NA,NA,NA,2010,NA,NA,"K",8,3481
77,270,4.71,30.5,19,115,7.18,4.67,2010,1,15,"DL",1,3482
78,223,4.9,28.5,NA,108,7.06,4.53,2010,6,204,"QB",6,3483
73,214,4.58,NA,NA,NA,NA,NA,2010,NA,NA,"DB",8,3484
76,245,4.68,34,27,113,6.72,4.17,2010,4,114,"TE",4,3485
71,211,4.55,38,14,121,NA,NA,2010,NA,NA,"DB",8,3486
76,304,5.25,NA,NA,95,7.74,4.92,2010,1,18,"OL",1,3487
72,204,4.4,37,16,114,6.82,4.34,2010,3,90,"WR",3,3488
73,303,5.12,28.5,34,96,NA,NA,2010,2,35,"DL",2,3489
76,254,4.68,32,23,112,NA,NA,2010,5,154,"TE",5,3490
72,191,4.85,NA,NA,NA,NA,NA,2010,NA,NA,"K",8,3491
72,191,4.56,37,15,114,6.95,4.38,2010,5,156,"WR",5,3492
77,320,5.76,23.5,19,87,8.58,5.38,2010,NA,NA,"OL",8,3493
73,239,4.69,35.5,NA,119,6.97,4.25,2010,4,103,"LB",4,3494
71,195,4.4,36,15,120,6.77,4.15,2010,3,88,"WR",3,3495
74,214,4.68,35,NA,110,7.24,4.4,2010,7,250,"QB",7,3496
71,190,4.46,39,15,122,6.78,NA,2010,1,32,"DB",1,3497
69,185,4.73,38,NA,118,NA,4.1,2010,NA,NA,"DB",8,3498
74,215,4.59,36,21,124,6.94,4.15,2010,NA,NA,"DB",8,3499
70,183,4.64,40,16,119,7.07,NA,2010,NA,NA,"DB",8,3500
75,313,5.1,32,30,100,7.83,4.64,2010,NA,NA,"DL",8,3501
77,316,5.21,29.5,27,113,7.42,4.67,2010,2,33,"OL",2,3502
71,186,4.4,39.5,12,126,6.64,4.1,2010,3,82,"WR",3,3503
76,252,4.65,34,23,114,7.29,4.41,2010,5,134,"LB",5,3504
74,221,4.63,NA,NA,NA,NA,NA,2010,4,130,"LB",4,3505
71,238,4.68,30.5,NA,111,6.98,4.47,2010,6,200,"RB",6,3506
77,319,5.52,22.5,19,90,8.24,5.03,2010,5,151,"OL",5,3507
76,252,4.93,30.5,24,109,7.48,4.63,2010,7,226,"DL",7,3508
71,236,4.81,NA,24,NA,7.19,4.42,2010,4,102,"LB",4,3509
74,257,4.92,33,NA,115,7.23,4.53,2010,5,142,"LB",5,3510
74,285,5.11,28,19,100,7.81,4.78,2010,NA,NA,"DL",8,3511
71,193,4.6,36.5,16,116,NA,NA,2010,3,84,"WR",3,3512
77,243,4.85,33.5,NA,108,7.17,4.33,2010,5,155,"QB",5,3513
72,214,5.05,30,NA,101,7.04,4.29,2010,NA,NA,"QB",8,3514
74,304,5.01,NA,NA,NA,NA,NA,2010,3,74,"DL",3,3515
75,300,5.03,34,26,112,7.67,4.71,2010,6,187,"OL",6,3516
75,219,5.04,33,NA,106,7.08,4.33,2010,NA,NA,"QB",8,3517
71,195,4.52,35,NA,116,NA,NA,2010,3,66,"DB",3,3518
75,249,5.05,29,NA,111,6.97,NA,2010,2,62,"LB",2,3519
71,196,4.37,NA,18,NA,NA,NA,2010,1,9,"RB",1,3520
74,218,4.5,36,15,119,6.89,4.23,2010,6,193,"RB",6,3521
71,213,4.53,37,12,122,NA,4.32,2010,NA,NA,"DB",8,3522
71,205,4.46,39.5,17,120,NA,NA,2010,4,110,"DB",4,3523
76,307,5.03,35.5,32,105,7.21,4.44,2010,1,2,"DL",1,3524
68,178,NA,NA,12,NA,NA,NA,2010,NA,NA,"K",8,3525
74,231,4.71,NA,23,NA,NA,NA,2010,5,166,"LB",5,3526
71,220,4.34,40.5,26,124,6.91,4.12,2010,2,58,"RB",2,3527
70,199,4.42,35,17,120,7.12,4.34,2010,2,60,"WR",2,3528
75,263,4.73,37,29,121,6.91,4.18,2010,3,86,"DL",3,3529
75,236,4.71,38.5,NA,115,6.66,4.17,2010,1,25,"QB",1,3530
77,300,5.15,25,27,98,7.6,4.62,2010,5,158,"OL",5,3531
77,324,5.31,26.5,28,94,7.95,5.25,2010,NA,NA,"OL",8,3532
76,330,5.16,29,31,102,7.68,4.78,2010,5,146,"DL",5,3533
75,224,4.52,NA,NA,NA,NA,NA,2010,1,22,"WR",1,3534
70,208,4.43,NA,21,113,NA,NA,2010,1,14,"DB",1,3535
72,192,4.41,34.5,19,126,6.82,4.18,2010,3,94,"DB",3,3536
69,186,4.75,33,NA,117,6.73,4.26,2010,7,225,"DB",7,3537
71,189,4.53,NA,NA,NA,NA,NA,2010,4,111,"DB",4,3538
73,209,NA,NA,NA,NA,NA,NA,2010,NA,NA,"K",8,3539
71,245,4.84,32,19,105,7.44,4.69,2010,NA,NA,"RB",8,3540
72,213,4.66,32,22,110,NA,4.67,2010,NA,NA,"RB",8,3541
75,248,4.76,35.5,20,110,7.08,4.34,2010,6,184,"LB",6,3542
75,250,4.7,33,20,115,7.02,4.37,2010,5,167,"LB",5,3543
75,314,5.12,29,34,98,7.61,4.73,2010,2,41,"DL",2,3544
74,200,4.65,NA,NA,NA,NA,NA,2010,NA,NA,"WR",8,3545
77,300,5.52,26,24,94,7.98,4.99,2010,NA,NA,"OL",8,3546
80,312,5.06,33.5,32,109,7.4,4.51,2010,3,69,"OL",3,3547
70,189,4.52,32,11,116,6.7,4.12,2010,4,104,"DB",4,3548
71,183,4.69,34,12,113,7.11,4.35,2010,NA,NA,"DB",8,3549
70,204,4.52,NA,15,NA,NA,NA,2010,6,196,"DB",6,3550
75,300,5.19,27,24,101,7.6,4.69,2010,3,80,"OL",3,3551
77,314,5.18,27,29,96,NA,4.7,2010,5,140,"OL",5,3552
70,211,4.56,34,19,121,NA,NA,2010,2,38,"DB",2,3553
71,193,4.62,NA,12,113,NA,NA,2010,NA,NA,"DB",8,3554
74,230,4.58,31,17,114,NA,NA,2010,2,47,"LB",2,3555
76,291,5.21,30,25,107,7.4,4.68,2010,NA,NA,"DL",8,3556
78,311,5.25,29.5,33,114,7.52,4.84,2010,NA,NA,"OL",8,3557
73,240,4.55,40,24,134,7.06,4.11,2010,7,217,"LB",7,3558
73,239,4.62,40,34,123,6.99,4.38,2010,1,19,"LB",1,3559
78,307,5.42,29,29,105,7.67,4.8,2010,7,208,"OL",7,3560
72,212,4.59,33.5,15,113,NA,NA,2010,NA,NA,"WR",8,3561
74,209,4.49,33.5,18,115,6.69,4.03,2010,NA,NA,"WR",8,3562
73,197,4.52,38,19,118,6.79,4.24,2010,3,77,"WR",3,3563
74,327,5.19,32,27,96,7.88,4.87,2010,1,26,"DL",1,3564
72,206,4.59,36,14,117,6.73,NA,2010,NA,NA,"WR",8,3565
71,233,4.52,NA,NA,NA,NA,NA,2010,NA,NA,"RB",8,3566
70,188,4.4,33,11,118,7,4.19,2010,6,206,"WR",6,3567
73,221,4.53,33.5,8,116,6.9,4.31,2010,4,101,"WR",4,3568
76,210,4.5,36.5,15,125,6.81,4.11,2010,NA,NA,"WR",8,3569
77,315,4.81,34.5,23,113,7.64,4.63,2010,1,4,"OL",1,3570
75,290,4.83,33,32,116,NA,4.77,2010,7,230,"DL",7,3571
