"Ht","Wt","Forty","Vertical","BenchReps","BroadJump","Cone","Shuttle","Year","Round","Pick","PosRec","RoundRec","seq"
76,330,5.46,31,25,104,7.91,4.76,2000,3,82,"OL",3,167
73,221,4.62,37.5,29,121,6.81,4.16,2000,NA,NA,"RB",8,168
70,214,4.41,41.5,23,131,6.82,3.93,2000,4,97,"RB",4,169
73,200,4.55,36.5,15,120,6.96,4.31,2000,NA,NA,"DB",8,170
71,235,4.74,NA,NA,NA,NA,NA,2000,NA,NA,"RB",8,171
69,183,4.53,36,17,116,6.63,3.95,2000,3,84,"DB",3,172
72,251,4.84,35,24,119,NA,NA,2000,NA,NA,"RB",8,173
73,221,4.71,33.5,8,113,7.08,4.38,2000,2,45,"DB",2,174
71,188,4.65,NA,NA,NA,7.12,4.2,2000,NA,NA,"DB",8,175
70,195,NA,NA,NA,NA,NA,NA,2000,NA,NA,"K",8,176
78,272,4.9,NA,NA,NA,NA,NA,2000,3,68,"TE",3,177
76,307,4.98,NA,24,NA,NA,NA,2000,2,46,"OL",2,178
74,305,5.43,28,26,103,7.54,4.6,2000,NA,NA,"OL",8,179
73,180,4.72,28.5,NA,106,7.11,4.38,2000,NA,NA,"WR",8,180
76,299,5.09,NA,21,NA,NA,NA,2000,NA,NA,"OL",8,181
71,190,4.42,34,NA,125,NA,NA,2000,4,109,"DB",4,182
76,300,5.08,30,45,110,7.46,4.37,2000,6,194,"DL",6,183
74,234,NA,NA,NA,NA,NA,NA,2000,5,142,"K",5,184
73,202,4.56,35.5,NA,125,7.3,4.25,2000,7,242,"WR",7,185
72,202,5.02,27,NA,97,7.28,4.24,2000,NA,NA,"QB",8,186
72,240,4.58,NA,23,NA,NA,NA,2000,1,5,"RB",1,187
75,194,4.53,35,NA,121,NA,NA,2000,NA,NA,"WR",8,188
73,294,5,36,28,108,7.44,4.56,2000,NA,NA,"DL",8,189
74,182,4.61,36.5,NA,122,7.16,4.26,2000,NA,NA,"WR",8,190
76,259,4.7,35,22,118,6.86,4.06,2000,3,87,"LB",3,191
69,194,4.54,37.5,NA,120,6.9,4.09,2000,3,91,"DB",3,192
69,184,4.44,35.5,20,117,6.73,4,2000,5,130,"DB",5,193
74,227,4.58,34.5,NA,113,NA,NA,2000,5,163,"QB",5,194
77,271,5,29,NA,101,NA,NA,2000,NA,NA,"TE",8,195
71,206,4.63,32,NA,108,7.08,4.12,2000,NA,NA,"RB",8,196
77,361,5.5,NA,24,NA,NA,NA,2000,1,20,"OL",1,197
76,328,5.31,26,23,97,7.72,4.71,2000,3,83,"OL",3,198
78,315,5.39,NA,28,NA,NA,NA,2000,1,22,"OL",1,199
76,289,5.09,27.5,22,102,7.73,4.61,2000,4,120,"DL",4,200
72,212,4.69,33,NA,120,6.89,4.15,2000,7,252,"RB",7,201
75,298,5.12,34,25,110,7.46,4.43,2000,2,60,"OL",2,202
77,284,4.99,30.5,27,113,7.49,4.52,2000,7,241,"DL",7,203
75,295,5.39,26,18,97,7.84,4.78,2000,NA,NA,"OL",8,204
73,246,4.97,27.5,24,110,7.37,4.43,2000,NA,NA,"LB",8,205
75,203,4.81,35.5,NA,117,7.01,4.24,2000,NA,NA,"WR",8,206
72,196,4.57,36,NA,117,7.16,4.11,2000,NA,NA,"WR",8,207
73,201,4.52,37.5,NA,129,6.91,4.09,2000,NA,NA,"WR",8,208
75,320,5.45,24.5,34,94,8.37,5.06,2000,NA,NA,"OL",8,209
71,223,4.6,NA,21,NA,NA,NA,2000,3,89,"LB",3,210
73,231,4.57,36,23,117,NA,NA,2000,4,115,"RB",4,211
75,216,4.6,34.5,NA,119,7.06,4.17,2000,1,21,"WR",1,212
72,221,4.65,37.5,23,117,7.05,4.21,2000,5,156,"RB",5,213
74,250,4.77,33,18,113,6.93,4.17,2000,1,28,"LB",1,214
69,211,4.56,NA,24,NA,NA,NA,2000,5,135,"DB",5,215
68,182,4.5,36,18,121,NA,NA,2000,5,166,"RB",5,216
74,207,4.75,NA,NA,NA,NA,NA,2000,NA,NA,"QB",8,217
73,183,4.56,37.5,NA,123,7.04,4.1,2000,4,124,"DB",4,218
76,317,5.34,25.5,27,98,7.82,4.74,2000,NA,NA,"OL",8,219
70,175,4.43,37.5,NA,123,6.96,4.04,2000,2,32,"WR",2,220
76,263,5.03,28,23,106,NA,NA,2000,NA,NA,"TE",8,221
75,277,5.06,27.5,17,94,7.59,4.72,2000,NA,NA,"OL",8,222
71,193,4.6,NA,NA,NA,NA,NA,2000,1,15,"DB",1,223
73,235,4.72,34,16,114,7.3,4.24,2000,NA,NA,"LB",8,224
76,253,NA,NA,NA,NA,NA,NA,2000,NA,NA,"DL",8,225
73,208,4.63,35,17,115,6.81,4.21,2000,7,236,"DB",7,226
75,229,4.81,33.5,NA,111,7.12,4.16,2000,1,18,"QB",1,227
77,231,4.68,NA,NA,NA,NA,NA,2000,1,16,"LB",1,228
74,195,4.75,32.5,NA,114,NA,NA,2000,NA,NA,"WR",8,229
74,205,4.66,39.5,NA,129,6.93,4.13,2000,6,172,"WR",6,230
74,169,4.45,NA,NA,NA,NA,NA,2000,2,36,"WR",2,231
75,261,4.9,30.5,20,111,7.75,4.52,2000,NA,NA,"LB",8,232
71,191,4.43,NA,NA,NA,NA,NA,2000,1,24,"DB",1,233
74,233,4.75,32,18,111,7.43,4.45,2000,7,251,"LB",7,234
74,221,4.48,NA,NA,NA,NA,NA,2000,2,47,"WR",2,235
70,197,4.57,37,16,126,6.66,4,2000,3,77,"DB",3,236
72,225,4.5,37,23,115,6.92,4.4,2000,3,63,"RB",3,237
78,333,5.59,26,22,95,8.15,5.13,2000,4,127,"OL",4,238
72,215,4.91,25.5,NA,100,7.34,4.21,2000,7,212,"QB",7,239
78,308,5.5,25,22,94,8.33,5,2000,NA,NA,"OL",8,240
75,222,5.37,26.5,NA,98,7.8,4.78,2000,3,75,"QB",3,241
71,216,4.48,32.5,NA,121,NA,NA,2000,3,76,"RB",3,242
76,283,5.13,30,18,101,7.91,4.68,2000,NA,NA,"DL",8,243
75,299,5.37,26.5,20,99,7.49,4.88,2000,5,131,"OL",5,244
74,293,5.19,29.5,17,106,NA,NA,2000,NA,NA,"OL",8,245
76,312,5.09,29.5,25,94,7.72,4.72,2000,2,55,"DL",2,246
77,314,5.31,29.5,25,101,8.31,4.76,2000,NA,NA,"OL",8,247
73,232,4.68,37,19,124,7.21,4.31,2000,NA,NA,"RB",8,248
71,188,4.55,NA,NA,NA,NA,NA,2000,2,34,"DB",2,249
75,321,5.35,NA,NA,NA,NA,NA,2000,NA,NA,"OL",8,250
77,325,5.08,NA,NA,NA,NA,NA,2000,1,3,"OL",1,251
72,202,4.5,37,10,116,NA,NA,2000,4,95,"DB",4,252
67,199,4.6,32,12,118,6.63,4.3,2000,NA,NA,"RB",8,253
75,241,4.75,32.5,NA,111,7.33,4.38,2000,7,215,"LB",7,254
74,308,5.34,25,24,92,NA,NA,2000,NA,NA,"OL",8,255
72,194,4.59,33.5,NA,119,NA,NA,2000,4,99,"WR",4,256
70,193,4.5,34,11,116,7.45,4.24,2000,6,179,"DB",6,257
74,316,5.13,28.5,24,102,7.78,4.6,2000,NA,NA,"DL",8,258
76,253,4.81,37.5,NA,114,6.72,4.3,2000,4,110,"RB",4,259
73,195,4.53,35,5,120,NA,NA,2000,2,62,"DB",2,260
75,262,4.78,NA,NA,NA,NA,NA,2000,NA,NA,"LB",8,261
77,318,5.65,22.5,18,98,8.48,4.81,2000,7,237,"OL",7,262
75,252,4.72,NA,NA,NA,NA,NA,2000,4,105,"LB",4,263
74,180,4.66,33,NA,119,7.18,4.1,2000,NA,NA,"WR",8,264
74,297,4.83,NA,NA,NA,NA,NA,2000,1,6,"DL",1,265
72,237,4.6,36,24,117,7.08,4.09,2000,3,67,"LB",3,266
74,246,4.84,34.5,20,115,7.21,4.27,2000,4,128,"LB",4,267
72,247,4.87,30,24,112,7.08,4.26,2000,3,92,"LB",3,268
73,198,4.57,35,13,115,7.18,4.29,2000,NA,NA,"DB",8,269
72,245,5.18,29.5,NA,108,7.51,4.58,2000,NA,NA,"LB",8,270
70,207,4.5,NA,NA,NA,NA,NA,2000,NA,NA,"RB",8,271
77,320,5.37,27.5,24,100,7.87,4.83,2000,2,38,"OL",2,272
71,220,4.65,NA,25,NA,NA,NA,2000,5,132,"RB",5,273
76,275,4.88,NA,NA,NA,NA,NA,2000,6,197,"DL",6,274
72,249,5,32.5,19,109,8.38,4.85,2000,4,96,"RB",4,275
69,177,4.34,35,NA,124,NA,NA,2000,1,29,"WR",1,276
70,204,4.78,33,13,113,7.18,4.47,2000,NA,NA,"RB",8,277
71,184,4.55,33.5,NA,123,NA,NA,2000,NA,NA,"WR",8,278
75,250,4.78,38,24,115,6.84,4.14,2000,5,141,"TE",5,279
67,204,4.6,35,13,111,7.14,4.14,2000,7,243,"RB",7,280
75,255,4.75,NA,31,NA,NA,NA,2000,5,164,"TE",5,281
75,318,5.37,27,22,90,7.91,4.84,2000,7,224,"OL",7,282
75,249,4.65,34.5,NA,115,NA,NA,2000,6,184,"LB",6,283
73,199,4.43,37,NA,118,7.15,NA,2000,1,10,"WR",1,284
74,270,4.56,38.5,NA,120,NA,4.42,2000,6,186,"DL",6,285
75,300,5.22,29.5,23,100,7.99,NA,2000,7,222,"OL",7,286
76,305,5.28,26,16,104,7.99,4.73,2000,4,100,"OL",4,287
75,220,4.65,NA,NA,NA,NA,NA,2000,2,41,"LB",2,288
73,194,4.6,37.5,15,123,6.95,4.29,2000,2,58,"DB",2,289
77,310,5.26,28.5,19,99,7.72,4.6,2000,5,136,"DL",5,290
78,296,5.09,29,25,99,7.82,4.72,2000,NA,NA,"DL",8,291
77,297,5.16,27,21,96,8.18,4.95,2000,NA,NA,"OL",8,292
72,249,4.65,32,24,109,7.23,4.3,2000,3,86,"LB",3,293
76,258,4.59,34,27,122,6.94,4.18,2000,1,9,"LB",1,294
71,196,4.53,36.5,14,121,7.09,4.16,2000,7,211,"DB",7,295
76,306,5.2,28.5,14,108,7.54,4.42,2000,NA,NA,"OL",8,296
80,326,5.22,27.5,29,101,7.68,4.68,2000,2,53,"OL",2,297
74,293,4.82,NA,NA,NA,NA,NA,2000,3,71,"DL",3,298
70,218,NA,NA,NA,NA,NA,NA,2000,NA,NA,"K",8,299
66,171,4.55,32.5,NA,106,6.61,3.84,2000,5,165,"WR",5,300
73,307,5.1,30.5,29,105,7.97,4.56,2000,3,74,"DL",3,301
71,194,4.58,NA,NA,NA,NA,NA,2000,1,4,"WR",1,302
69,180,4.42,35.5,17,122,6.76,3.98,2000,2,48,"DB",2,303
74,228,4.78,31,NA,110,7.42,4.22,2000,5,157,"TE",5,304
76,254,4.66,32.5,NA,121,6.97,4.18,2000,5,158,"TE",5,305
69,179,4.51,35,11,115,7.21,4.27,2000,6,203,"DB",6,306
72,195,4.68,32.5,NA,118,7.05,4.24,2000,NA,NA,"RB",8,307
73,218,4.62,37.5,NA,124,6.91,4.09,2000,3,69,"WR",3,308
